weight,SMILES,Solvent,"T,K",Source,Solubility,SMILES_Solvent,ensemble_rdkit,dipole,SASA
0.25,B12B3B4B1C234,water,298.15,AqSolDB,-4.7424,O,failed,1.100729648699052,214.67274333536153
1.0,Br/C(C=NNc1ccc2nncn2n1)=C\c1ccccc1,water,298.15,AqSolDB,-5.14,O,failed,3.0031441080381898,519.7263483672383
0.675,Br/C=C/Br,water,298.15,AqSolDB,-1.47611,O,failed,5.0728556636060175e-05,235.48349389987294
0.675,Br/C=C\Br,water,298.15,AqSolDB,-1.36389,O,failed,1.5149714598365862,230.503299636832
1.0,BrC(=C\c1ccccc1)/C=N/Nc1ccc2nncn2n1,water,298.15,AqSolDB,-5.14,O,failed,3.0708526896532478,519.5946845915649
1.0,BrC(=C\c1ccccc1)/C=N/n1cnnc1,water,298.15,AqSolDB,-4.65,O,failed,2.806887630528607,435.82469035562497
1.0,BrC(Br)(Br)Br,water,298.15,AqSolDB,-3.14005,O,failed,3.1517049389439556e-07,269.9946573715332
1.0,BrC(Br)Br,water,298.15,AqSolDB,-1.88302,O,failed,0.8231530458922166,243.92385781700108
1.0,BrC(Br)C(Br)Br,water,298.15,AqSolDB,-2.72511,O,failed,0.3676741837390986,293.2048126812255
1.0,BrC(C=NNc1ccc2nncn2[nH+]1)=Cc1ccccc1,water,298.15,AqSolDB,-5.14,O,failed,3.027665294846434,520.6298356746616
1.0,BrC(C=Nn1cnnc1)=Cc1ccccc1,water,298.15,AqSolDB,-4.65,O,failed,2.8247710994530517,435.32036241251365
0.25,BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,water,298.15,AqSolDB,-6.99043,O,failed,1.4099910131043774,519.5307854616457
0.675,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,water,298.15,AqSolDB,-7.87104,O,failed,2.1446745155145495,505.8235729212032
1.0,BrC1CCCCC1,water,298.15,AqSolDB,-2.29597,O,failed,1.6671538868447309,284.6303203904913
0.7,BrC=CBr,water,298.15,AqSolDB,-1.32,O,failed,0.09085140016977246,235.0366473492925
1.0,BrCBr,water,298.15,AqSolDB,-1.18173,O,failed,1.2480037506952835,212.6929261397879
0.675,BrCC(Br)Br,water,298.15,AqSolDB,-2.72896,O,failed,0.9229382216753861,269.05782600345276
0.675,BrCC(CBr)(CBr)CBr,water,298.15,AqSolDB,-5.38163,O,failed,0.015943285158181573,351.4026474462014
1.0,BrCCBr,water,298.15,AqSolDB,-1.67319,O,failed,0.09692943281212336,242.51120298131798
1.0,BrCCCBr,water,298.15,AqSolDB,-2.07765,O,failed,1.5416326821111008,266.289530946146
0.675,BrCCCCBr,water,298.15,AqSolDB,-2.79008,O,failed,0.6751709102767152,294.4066311454867
0.675,BrCCc1ccccc1,water,298.15,AqSolDB,-3.67841,O,failed,1.5062355014792297,319.84745180824405
1.0,Brc1c(-c2ccc3c(c2)OCO3)nc2ncccn12,water,298.15,AqSolDB,-3.91,O,failed,0.8734054118780903,443.3977890272664
1.0,Brc1c(-c2ccccc2)nc2n1Cc1ccccc1-2,water,298.15,AqSolDB,-5.71,O,failed,1.4110101188213653,466.3271970000716
0.675,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,water,298.15,AqSolDB,-9.53904,O,failed,4.115701991198165e-05,393.2569745439483
0.25,Brc1c(Br)c(Br)c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,water,298.15,AqSolDB,-9.12999,O,failed,1.060981866512729,586.8393313038118
0.25,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,water,298.15,AqSolDB,-9.9819,O,failed,0.12679392991472946,596.2230100114987
1.0,Brc1c(NC2=NCCN2)ccc2nccnc12,water,298.15,AqSolDB,-4.42,O,failed,0.9562410357308655,430.35278480795193
1.0,Brc1c(NC2=[NH+]CCN2)ccc2nccnc12,water,298.15,AqSolDB,-4.42,O,failed,5.314019047597873,432.76409813332424
1.0,Brc1c[nH+]c2ccccc2c1N1CCCCC1,water,298.15,AqSolDB,-5.39,O,failed,0.898758729475194,432.6906095394737
1.0,Brc1c[nH]c2nc(SCC=Cc3ccccc3)nc-2c1,water,298.15,AqSolDB,-6.06,O,failed,0.8690482371663523,521.0933804305959
1.0,Brc1c[nH]c2nc(SCc3nc4ccccc4[nH]3)nc-2c1,water,298.15,AqSolDB,-5.48,O,failed,2.164313109093325,510.32859562369305
1.0,Brc1c[nH]c2ncnc-2c1,water,298.15,AqSolDB,-3.82,O,failed,1.5883585011532606,299.9522858665369
1.0,Brc1cc(-c2ccccc2)nc(-c2ccccc2)n1,water,298.15,AqSolDB,-6.02,O,failed,1.6935750561774032,479.21293808419614
0.25,Brc1cc(Br)c(-c2ccccc2)c(Br)c1,water,298.15,AqSolDB,-7.3,O,failed,0.6378656328842089,432.1504441889839
1.0,Brc1cc(Br)c(Br)cc1Br,water,298.15,AqSolDB,-6.98531,O,failed,3.397329010684357e-05,354.90585306900635
0.675,Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,water,298.15,AqSolDB,-6.53863,O,failed,0.36296227980726065,583.2243805262383
0.25,Brc1cc(Br)c(Oc2cc(Br)cc(Br)c2Br)c(Br)c1,water,298.15,AqSolDB,-8.1979,O,failed,0.9498172145072381,527.3660579516286
1.0,Brc1cc(Br)c2nc3c(cc2c1)CCC3,water,298.15,AqSolDB,-5.24,O,failed,2.5313185347909273,419.98430725697796
1.0,Brc1cc(Br)cc(Br)c1,water,298.15,AqSolDB,-5.60006,O,failed,7.752890859018195e-06,334.0352328470271
1.0,Brc1cc(Br)cc(CN2CCSCC2)c1,water,298.15,AqSolDB,-5.64,O,failed,1.3117866486936487,451.30800417759167
1.0,Brc1cc(Br)cc(C[NH+]2CCSCC2)c1,water,298.15,AqSolDB,-5.64,O,failed,3.926025213976801,455.34519705776523
1.0,Brc1cc(Cc2nnc(-c3ccccc3)o2)c(Br)s1,water,298.15,AqSolDB,-6.0,O,failed,1.099510756561488,497.8919531908557
1.0,Brc1cc2c(cc1-c1nc3ccccc3s1)OCO2,water,298.15,AqSolDB,-5.68,O,failed,1.155031893628784,456.5020139846905
1.0,Brc1cc2c(cc1CSc1ncccn1)OCO2,water,298.15,AqSolDB,-5.56,O,failed,1.3890577961869628,445.45086780270094
0.675,Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,water,298.15,AqSolDB,-6.83982,O,failed,0.7200423421966269,462.18621936880805
0.25,Brc1ccc(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,water,298.15,AqSolDB,-9.351,O,failed,1.4053415565436138,542.5939277480605
0.25,Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,water,298.15,AqSolDB,-7.7563,O,failed,2.1619423432877753,503.2776766585687
0.25,Brc1ccc(-c2ccc(Br)cc2)cc1,water,298.15,AqSolDB,-7.74,O,failed,2.706414486548784e-05,413.6478218815242
1.0,Brc1ccc(-c2ccccc2)cc1,water,298.15,AqSolDB,-5.55183,O,failed,1.5433378815311087,380.2967309556429
1.0,Brc1ccc(-c2cn3ccccc3n2)cc1,water,298.15,AqSolDB,-5.53,O,failed,2.68075441336065,422.8296177737897
1.0,Brc1ccc(-c2cnco2)cc1,water,298.15,AqSolDB,-5.01,O,failed,0.7007821099186166,347.5729974660608
1.0,Brc1ccc(-c2csc(N3CCCCCC3)n2)cc1,water,298.15,AqSolDB,-5.45,O,failed,2.4377851719909183,492.91239330523797
1.0,Brc1ccc(-c2csc(N3CCOCC3)n2)cc1,water,298.15,AqSolDB,-6.04,O,failed,1.8027719158204047,472.53542858920775
0.35,Brc1ccc(-c2nc(-c3ccc4nc[nH]c4c3)no2)cc1,water,298.15,AqSolDB,-4.451,O,failed,1.451124382293651,499.53143454106026
1.0,Brc1ccc(-c2nc(-c3ccncc3)no2)cc1,water,298.15,AqSolDB,-6.18,O,failed,0.2652346310371641,453.52849827610635
1.0,Brc1ccc(-c2ncc3ccccn23)cc1,water,298.15,AqSolDB,-3.97,O,failed,2.2354464581493825,416.1119885884084
1.0,Brc1ccc(-c2nn[n-]n2)cc1,water,298.15,AqSolDB,-4.37,O,failed,1.331083010805371,336.05182890355576
1.0,Brc1ccc(-c2nn[nH]n2)cc1,water,298.15,AqSolDB,-4.37,O,failed,1.6734459274400812,340.0771782290418
1.0,Brc1ccc(-c2nnc(-c3cccnc3)o2)cc1,water,298.15,AqSolDB,-4.5,O,failed,1.2261937583542695,453.0500873581612
1.0,Brc1ccc(-c2nnc(Cc3ccccc3)o2)cc1,water,298.15,AqSolDB,-4.88,O,failed,1.5583771207487993,489.63138669635737
1.0,Brc1ccc(-c2noc(-c3ccccc3)n2)o1,water,298.15,AqSolDB,-5.99,O,failed,2.0103205137801536,441.70391576264296
1.0,Brc1ccc(-c2noc(-c3ccccn3)n2)o1,water,298.15,AqSolDB,-4.43,O,failed,2.182302605221762,437.5181922969105
1.0,Brc1ccc(-n2cnc(-c3ccccc3)c2)cc1,water,298.15,AqSolDB,-5.48,O,failed,0.36039787412788565,464.6902517141232
1.0,Brc1ccc(/C=N/Nc2nc3ccccc3o2)cc1,water,298.15,AqSolDB,-5.65,O,failed,1.710049865112138,487.7010713090634
1.0,Brc1ccc(/C=N/n2cnnc2)s1,water,298.15,AqSolDB,-4.05,O,failed,1.9963156946957696,383.21095091759264
0.675,Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,water,298.15,AqSolDB,-9.72837,O,failed,1.0304655946215693,489.5524674386644
