weight,SMILES,Solvent,"T,K",Source,Solubility,SMILES_Solvent,ensemble_rdkit,dipole,SASA
0.25,B12B3B4B1C234,water,298.15,AqSolDB,-4.7424,O,ConformerEnsemble(2 conformers),1.100729648699052,214.67274333536153
1.0,Br/C(C=NNc1ccc2nncn2n1)=C\c1ccccc1,water,298.15,AqSolDB,-5.14,O,ConformerEnsemble(21 conformers),3.0031441080381622,519.7263483672383
0.675,Br/C=C/Br,water,298.15,AqSolDB,-1.47611,O,ConformerEnsemble(1 conformers),5.072856326821818e-05,235.48349389987294
0.675,Br/C=C\Br,water,298.15,AqSolDB,-1.36389,O,ConformerEnsemble(1 conformers),1.5149714598362591,230.503299636832
1.0,BrC(=C\c1ccccc1)/C=N/Nc1ccc2nncn2n1,water,298.15,AqSolDB,-5.14,O,ConformerEnsemble(15 conformers),3.0708526896532313,519.5946845915649
1.0,BrC(=C\c1ccccc1)/C=N/n1cnnc1,water,298.15,AqSolDB,-4.65,O,ConformerEnsemble(8 conformers),2.8068876305286103,435.82469035562497
1.0,BrC(Br)(Br)Br,water,298.15,AqSolDB,-3.14005,O,ConformerEnsemble(2 conformers),3.151704928185908e-07,269.9946573715332
1.0,BrC(Br)Br,water,298.15,AqSolDB,-1.88302,O,ConformerEnsemble(1 conformers),0.8231530458921927,243.92385781700108
1.0,BrC(Br)C(Br)Br,water,298.15,AqSolDB,-2.72511,O,ConformerEnsemble(11 conformers),0.3676741837395537,293.2048126812255
1.0,BrC(C=NNc1ccc2nncn2[nH+]1)=Cc1ccccc1,water,298.15,AqSolDB,-5.14,O,ConformerEnsemble(26 conformers),3.0276652948460305,520.6298356746616
1.0,BrC(C=Nn1cnnc1)=Cc1ccccc1,water,298.15,AqSolDB,-4.65,O,ConformerEnsemble(22 conformers),2.8247710994531476,435.32036241251365
0.25,BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,water,298.15,AqSolDB,-6.99043,O,ConformerEnsemble(50 conformers),1.4099910131043352,519.5307854616457
0.675,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,water,298.15,AqSolDB,-7.87104,O,ConformerEnsemble(50 conformers),2.14467451551454,505.8235729212032
1.0,BrC1CCCCC1,water,298.15,AqSolDB,-2.29597,O,ConformerEnsemble(11 conformers),1.6671538868447306,284.6303203904913
0.7,BrC=CBr,water,298.15,AqSolDB,-1.32,O,ConformerEnsemble(2 conformers),0.09085140016977246,235.0366473492925
1.0,BrCBr,water,298.15,AqSolDB,-1.18173,O,ConformerEnsemble(1 conformers),1.2480037506952835,212.6929261397879
0.675,BrCC(Br)Br,water,298.15,AqSolDB,-2.72896,O,ConformerEnsemble(6 conformers),0.9229382216753949,269.05782600345276
0.675,BrCC(CBr)(CBr)CBr,water,298.15,AqSolDB,-5.38163,O,ConformerEnsemble(44 conformers),0.01594328515817608,351.4026474462014
1.0,BrCCBr,water,298.15,AqSolDB,-1.67319,O,ConformerEnsemble(3 conformers),0.09692943281166633,242.51120298131798
1.0,BrCCCBr,water,298.15,AqSolDB,-2.07765,O,ConformerEnsemble(9 conformers),1.5416326821111008,266.289530946146
0.675,BrCCCCBr,water,298.15,AqSolDB,-2.79008,O,ConformerEnsemble(23 conformers),0.6751709102766623,294.4066311454867
0.675,BrCCc1ccccc1,water,298.15,AqSolDB,-3.67841,O,ConformerEnsemble(6 conformers),1.5062355014792121,319.84745180824405
1.0,Brc1c(-c2ccc3c(c2)OCO3)nc2ncccn12,water,298.15,AqSolDB,-3.91,O,ConformerEnsemble(4 conformers),0.8734054118781519,443.3977890272664
1.0,Brc1c(-c2ccccc2)nc2n1Cc1ccccc1-2,water,298.15,AqSolDB,-5.71,O,ConformerEnsemble(4 conformers),1.4110101188213695,466.3271970000716
